"","race","mc_program_description","count"
"1","White","General Studies (AA - All Tracks)",146
"2","Black","General Studies (AA - All Tracks)",73
"3","Black","Health Sciences (Pre-Clinical Studies)",46
"4","Asian","General Studies (AA - All Tracks)",36
"5","White","Business / International Business (AA)",33
"6","White","Health Sciences (Pre-Clinical Studies)",28
"7","Hispanic","General Studies (AA - All Tracks)",27
"8","Black","Engineering Science (AA & AS - All Tracks)",22
"9","Black","Computer Science & Technologies (AA - All Tracks)",21
"10","White","Credit (Undeclared / Undecided)",21
"11","White","Science (AS - All Tracks)",20
"12","Black","Science (AS - All Tracks)",19
"13","Black","Business / International Business (AA)",18
"14","White","Arts & Sciences Transfer (AA - All Tracks)",18
"15","White","Education / Teacher Education (AA & AAT)",18
"16","White","Engineering Science (AA & AS - All Tracks)",18
"17","Asian","Health Sciences (Pre-Clinical Studies)",13
"18","Black","Nursing (AA & AAS)",12
"19","Asian","Business / International Business (AA)",11
"20","Asian","Science (AS - All Tracks)",11
"21","Black","Arts & Sciences Transfer (AA - All Tracks)",11
"22","Black","Education / Teacher Education (AA & AAT)",11
"23","White","Criminal Justice (AA & AAS)",11
"24","Asian","Credit (Undeclared / Undecided)",10
"25","Multi-Race","General Studies (AA - All Tracks)",10
"26","Native American","General Studies (AA - All Tracks)",10
"27","Asian","Engineering Science (AA & AS - All Tracks)",9
"28","Hispanic","Credit (Undeclared / Undecided)",9
"29","Asian","Computer Science & Technologies (AA - All Tracks)",8
"30","Hispanic","Business / International Business (AA)",8
"31","Asian","Arts & Sciences Transfer (AA - All Tracks)",7
"32","Black","Credit (Undeclared / Undecided)",7
"33","White","Cybersecurity (AAS)",7
"34","White","Nursing (AA & AAS)",7
"35","Asian","Accounting (AA & AAS)",6
"36","Black","Criminal Justice (AA & AAS)",6
"37","White","Computer Gaming & Simulation (AA - All Tracks)",6
"38","White","Computer Science & Technologies (AA - All Tracks)",6
"39","Asian","Cybersecurity (AAS)",5
"40","Asian","Graphic Design (AA, AAS, & AFA - All Tracks)",5
"41","Black","Computer Gaming & Simulation (AA - All Tracks)",5
"42","Black","Mental Health Associate (AA & AAS)",5
"43","Asian","Education / Teacher Education (AA & AAT)",4
"44","Black","Architectural & Construction Tech (AA & AAS)",4
"45","Black","Microcomputer Technician (AA & AAS)",4
"46","Hispanic","Arts & Sciences Transfer (AA - All Tracks)",4
"47","Hispanic","Criminal Justice (AA & AAS)",4
"48","Multi-Race","Health Sciences (Pre-Clinical Studies)",4
"49","White","Communication Studies (AA)",4
"50","White","Early Childhood Education (AA & AAS)",4
"51","White","Graphic Design (AA, AAS, & AFA - All Tracks)",4
"52","Asian","Computer Science - Computer Programming (CT)",3
"53","Black","Accounting (AA & AAS)",3
"54","Black","Accounting (CT)",3
"55","Black","Computer Applications (AA & AAS)",3
"56","Black","Cybersecurity (AAS)",3
"57","Black","Graphic Design (AA, AAS, & AFA - All Tracks)",3
"58","Black","Paralegal Studies (AA & AAS)",3
"59","Black","Polysomnography Technology (CT)",3
"60","Hispanic","Health Sciences (Pre-Clinical Studies)",3
"61","Hispanic","Science (AS - All Tracks)",3
"62","Multi-Race","Science (AS - All Tracks)",3
"63","Native American","Health Sciences (Pre-Clinical Studies)",3
"64","Pacific Islander","General Studies (AA - All Tracks)",3
"65","White","Architectural & Construction Tech (AA & AAS)",3
"66","White","Automotive Technology (AA & AAS)",3
"67","White","Hospitality Management (AA & AAS)",3
"68","White","Photography (CT)",3
"69","Asian","Criminal Justice (AA & AAS)",2
"70","Asian","Early Childhood Education (CT)",2
"71","Black","Commun & Broadcasting Tech (AA & AAS - All Tracks)",2
"72","Black","Commun & Broadcasting Tech (CT)",2
"73","Black","Communication Studies (AA)",2
"74","Black","Studio Art (AFA)",2
"75","Hispanic","Communication Studies (AA)",2
"76","Hispanic","Computer Gaming & Simulation (AA - All Tracks)",2
"77","Hispanic","Computer Science & Technologies (AA - All Tracks)",2
"78","Hispanic","Cybersecurity (AAS)",2
"79","Hispanic","Early Childhood Education (AA & AAS)",2
"80","Hispanic","Education / Teacher Education (AA & AAT)",2
"81","Hispanic","Nursing (AA & AAS)",2
"82","Multi-Race","Arts & Sciences Transfer (AA - All Tracks)",2
"83","Multi-Race","Business / International Business (AA)",2
"84","Multi-Race","Education / Teacher Education (AA & AAT)",2
"85","Multi-Race","Graphic Design (AA, AAS, & AFA - All Tracks)",2
"86","Native American","Education / Teacher Education (AA & AAT)",2
"87","Native American","Science (AS - All Tracks)",2
"88","Pacific Islander","Science (AS - All Tracks)",2
"89","White","Accounting (AA & AAS)",2
"90","White","Accounting (CT)",2
"91","White","Arts & Sciences Transfer (CT)",2
"92","White","Biotechnology (AA & AAS)",2
"93","White","Computer Applications (AA & AAS)",2
"94","White","Diagnostic Medical Sonography (AA & AAS)",2
"95","White","Fire Sci./Preven., Emerg. Prepare. (AA, AS & AAS)",2
"96","White","Microcomputer Technician (AA & AAS)",2
"97","White","Paralegal Studies (AA & AAS)",2
"98","White","Photography (AA & AAS)",2
"99","White","School of Art & Design - Applicants",2
"100","Asian","Architectural & Construction Tech (AA & AAS)",1
"101","Asian","Automotive Technology (CT)",1
"102","Asian","Building Trades Technology (AA & AAS)",1
"103","Asian","Commun & Broadcasting Tech (AA & AAS - All Tracks)",1
"104","Asian","Commun & Broadcasting Tech (CT)",1
"105","Asian","Digital Media & Web Technology (CT)",1
"106","Asian","Microcomputer Technician (AA & AAS)",1
"107","Asian","Microcomputer Technician (CT)",1
"108","Asian","Music Transfer (CT)",1
"109","Asian","Nursing (AA & AAS)",1
"110","Asian","Studio Art (AFA) - School of Art & Design",1
"111","Asian","WIA (CE) Programs",1
"112","Black","Biotechnology (AA & AAS)",1
"113","Black","Building Trades Technology (AA & AAS)",1
"114","Black","Building Trades Technology (CT)",1
"115","Black","Computer Science - Computer Programming (CT)",1
"116","Black","Digital Media & Web Technology (AAS)",1
"117","Black","Digital Media & Web Technology (CT)",1
"118","Black","Health Information Management (AA & AAS)",1
"119","Black","Interior Design - PreProfessional (AAS)",1
"120","Black","Studio Art (AFA) - School of Art & Design",1
"121","Hispanic","Building Trades Technology (AA & AAS)",1
"122","Hispanic","Commun & Broadcasting Tech (AA & AAS - All Tracks)",1
"123","Hispanic","Computer Science - Computer Programming (CT)",1
"124","Hispanic","Engineering Science (AA & AS - All Tracks)",1
"125","Hispanic","Graphic Design (AA, AAS, & AFA - All Tracks)",1
"126","Hispanic","Management (CT)",1
"127","Hispanic","Management of Construction (CT)",1
"128","Hispanic","Mental Health Associate (AA & AAS)",1
"129","Multi-Race","Applied Geography (AA & AAS)",1
"130","Multi-Race","Computer Gaming & Simulation (AA - All Tracks)",1
"131","Multi-Race","Computer Science & Technologies (AA - All Tracks)",1
"132","Multi-Race","Criminal Justice (AA & AAS)",1
"133","Multi-Race","Cybersecurity (AAS)",1
"134","Multi-Race","Engineering Science (AA & AS - All Tracks)",1
"135","Multi-Race","Hospitality Management (AA & AAS)",1
"136","Multi-Race","Mental Health Associate (AA & AAS)",1
"137","Native American","Arts & Sciences Transfer (AA - All Tracks)",1
"138","Native American","Business / International Business (AA)",1
"139","Native American","Computer Science - Computer Programming (CT)",1
"140","Native American","Computer Science & Technologies (AA - All Tracks)",1
"141","Native American","Cybersecurity (AAS)",1
"142","Native American","Early Childhood Education (AA & AAS)",1
"143","Native American","Hospitality Management (AA & AAS)",1
"144","Native American","Specialized Art Transfer (CT)",1
"145","Pacific Islander","Arts & Sciences Transfer (AA - All Tracks)",1
"146","Pacific Islander","Automotive Technology (AA & AAS)",1
"147","Pacific Islander","Criminal Justice (AA & AAS)",1
"148","Pacific Islander","Graphic Design (AA, AAS, & AFA - All Tracks)",1
"149","Pacific Islander","Health Sciences (Pre-Clinical Studies)",1
"150","Unknown","Automotive Technology (AA & AAS)",1
"151","Unknown","Computer Gaming & Simulation (AA - All Tracks)",1
"152","Unknown","Credit (Undeclared / Undecided)",1
"153","Unknown","Engineering Science (AA & AS - All Tracks)",1
"154","Unknown","General Studies (AA - All Tracks)",1
"155","Unknown","Health Sciences (Pre-Clinical Studies)",1
"156","White","American Sign Language (AA & AAS)",1
"157","White","Automotive Technology (CT)",1
"158","White","Building Trades Technology (AA & AAS)",1
"159","White","Commun & Broadcasting Tech (AA & AAS - All Tracks)",1
"160","White","Computer Applications (CT)",1
"161","White","Computer Science - Computer Programming (CT)",1
"162","White","Digital Media & Web Technology (CT)",1
"163","White","Early Childhood Education (CT)",1
"164","White","Graphic Design (AFA) - School of Art & Design",1
"165","White","Health Information Management (AA & AAS)",1
"166","White","Management (CT)",1
"167","White","Management of Construction (CT)",1
"168","White","Radiologic (X-Ray) Technology (AA & AAS)",1
"169","White","Studio Art (AFA)",1
"170","White","Studio Art (AFA) - School of Art & Design",1
